                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 2.0908,                  1.298,                 1.1537,                0.63882,                0.36263,                0.38589,                0.16563,                  1.974,                 1.2439,                 1.1523,               0.006568,               0.006568,               0.006568
                    107,                  2.083,                 1.2891,                 1.1564,                0.64547,                0.36149,                0.38644,                0.16588,                 1.9736,                 1.2434,                 1.1522,               0.006535,               0.006535,               0.006535
                    108,                 2.0895,                 1.2838,                 1.1537,                0.64852,                0.36216,                0.38589,                0.16618,                 1.9733,                  1.243,                 1.1521,               0.006502,               0.006502,               0.006502
                    109,                   2.08,                 1.2798,                 1.1543,                0.65124,                0.36264,                0.38628,                0.16647,                  1.973,                 1.2427,                  1.152,               0.006469,               0.006469,               0.006469
                    110,                 2.0877,                 1.2868,                 1.1567,                0.65634,                0.36349,                0.38632,                0.16647,                 1.9728,                 1.2424,                 1.1519,               0.006436,               0.006436,               0.006436
                    111,                 2.0794,                 1.2838,                 1.1583,                   0.66,                0.36304,                0.38849,                0.16687,                 1.9724,                 1.2417,                 1.1518,               0.006403,               0.006403,               0.006403
                    112,                 2.0815,                 1.2856,                 1.1544,                0.65774,                0.36358,                0.38892,                0.16736,                 1.9722,                 1.2411,                 1.1517,                0.00637,                0.00637,                0.00637
                    113,                 2.0848,                 1.2745,                 1.1492,                0.66041,                 0.3628,                 0.3889,                0.16747,                 1.9718,                 1.2404,                 1.1515,               0.006337,               0.006337,               0.006337
                    114,                 2.0716,                 1.2729,                 1.1548,                0.65871,                 0.3636,                0.39036,                0.16765,                 1.9716,                 1.2397,                 1.1515,               0.006304,               0.006304,               0.006304
                    115,                 2.0767,                 1.2745,                 1.1516,                0.65375,                0.36389,                0.39134,                0.16801,                 1.9713,                 1.2392,                 1.1514,               0.006271,               0.006271,               0.006271
                    116,                 2.0784,                 1.2634,                 1.1527,                 0.6474,                0.36377,                0.39153,                0.16792,                 1.9709,                 1.2386,                 1.1513,               0.006238,               0.006238,               0.006238
                    117,                 2.0771,                 1.2784,                 1.1524,                0.64604,                0.36407,                0.39144,                0.16791,                 1.9704,                 1.2381,                  1.151,               0.006205,               0.006205,               0.006205
                    118,                 2.0734,                 1.2774,                 1.1512,                0.52239,                0.36385,                0.39149,                0.16803,                 1.9701,                 1.2374,                 1.1509,               0.006172,               0.006172,               0.006172
                    119,                 2.0633,                 1.2688,                 1.1511,                0.52335,                0.36386,                0.39198,                0.16823,                 1.9697,                  1.237,                 1.1508,               0.006139,               0.006139,               0.006139
                    120,                 2.0694,                 1.2718,                 1.1451,                0.52138,                0.36498,                0.39089,                0.16819,                 1.9693,                 1.2366,                 1.1507,               0.006106,               0.006106,               0.006106
                    121,                 2.0756,                 1.2768,                 1.1526,                0.52782,                0.36356,                0.39294,                0.16868,                  1.969,                  1.236,                 1.1505,               0.006073,               0.006073,               0.006073
                    122,                 2.0749,                 1.2713,                 1.1482,                0.53635,                0.36183,                0.39291,                 0.1687,                 1.9686,                 1.2353,                 1.1504,                0.00604,                0.00604,                0.00604
                    123,                 2.0754,                 1.2643,                 1.1504,                0.51346,                0.36982,                0.39147,                0.16875,                 1.9683,                 1.2346,                 1.1503,               0.006007,               0.006007,               0.006007
                    124,                 2.0742,                 1.2669,                 1.1484,                0.51392,                0.37093,                0.39232,                0.16894,                 1.9679,                 1.2339,                 1.1502,               0.005974,               0.005974,               0.005974
                    125,                  2.069,                 1.2587,                  1.148,                0.51273,                0.37085,                0.39289,                0.16953,                 1.9676,                 1.2333,                 1.1501,               0.005941,               0.005941,               0.005941
                    126,                 2.0667,                 1.2634,                 1.1427,                0.51029,                0.37169,                0.39175,                0.16927,                 1.9673,                 1.2328,                   1.15,               0.005908,               0.005908,               0.005908
                    127,                 2.0654,                 1.2546,                 1.1501,                0.50315,                0.37397,                0.39262,                0.16935,                  1.967,                 1.2325,                 1.1499,               0.005875,               0.005875,               0.005875
                    128,                  2.061,                 1.2624,                 1.1503,                0.50522,                0.37404,                0.39323,                0.16958,                 1.9666,                 1.2319,                 1.1497,               0.005842,               0.005842,               0.005842
                    129,                 2.0664,                 1.2596,                 1.1453,                0.50587,                0.37362,                0.39363,                0.16991,                 1.9661,                 1.2313,                 1.1496,               0.005809,               0.005809,               0.005809
                    130,                 2.0645,                 1.2556,                 1.1469,                 0.5165,                0.36775,                 0.3935,                0.17014,                 1.9658,                 1.2307,                 1.1494,               0.005776,               0.005776,               0.005776
                    131,                 2.0663,                  1.254,                 1.1478,                0.51666,                0.36775,                0.39364,                0.17031,                 1.9654,                   1.23,                 1.1492,               0.005743,               0.005743,               0.005743
                    132,                 2.0667,                 1.2554,                 1.1434,                0.51798,                0.36784,                0.39406,                0.17037,                 1.9649,                 1.2293,                 1.1491,                0.00571,                0.00571,                0.00571
                    133,                 2.0586,                 1.2572,                 1.1473,                0.52017,                0.36852,                0.39339,                0.17027,                 1.9647,                 1.2287,                 1.1489,               0.005677,               0.005677,               0.005677
                    134,                 2.0607,                  1.233,                 1.1444,                0.51923,                0.36801,                0.39333,                0.17036,                 1.9643,                 1.2281,                 1.1488,               0.005644,               0.005644,               0.005644
                    135,                 2.0577,                 1.2454,                 1.1459,                0.52234,                 0.3666,                0.39338,                0.17063,                 1.9639,                 1.2274,                 1.1486,               0.005611,               0.005611,               0.005611
                    136,                 2.0588,                 1.2358,                 1.1469,                0.51238,                0.37188,                0.39416,                0.17089,                 1.9636,                 1.2267,                 1.1485,               0.005578,               0.005578,               0.005578
                    137,                 2.0614,                  1.243,                 1.1412,                0.51546,                 0.3734,                0.39434,                0.17096,                 1.9632,                  1.226,                 1.1484,               0.005545,               0.005545,               0.005545
                    138,                 2.0584,                 1.2463,                 1.1456,                0.51534,                0.37379,                 0.3947,                0.17098,                 1.9628,                 1.2253,                 1.1482,               0.005512,               0.005512,               0.005512
                    139,                 2.0529,                 1.2386,                 1.1412,                0.51437,                0.37357,                0.39367,                0.17102,                 1.9624,                 1.2246,                 1.1481,               0.005479,               0.005479,               0.005479
                    140,                 2.0546,                 1.2397,                 1.1458,                  0.517,                0.37238,                0.39472,                0.17114,                  1.962,                 1.2239,                 1.1479,               0.005446,               0.005446,               0.005446
                    141,                 2.0583,                 1.2355,                 1.1462,                0.49882,                0.37852,                 0.3947,                 0.1716,                 1.9617,                 1.2232,                 1.1478,               0.005413,               0.005413,               0.005413
                    142,                 2.0514,                   1.24,                   1.14,                0.50108,                0.37818,                0.39505,                0.17177,                 1.9614,                 1.2225,                 1.1476,                0.00538,                0.00538,                0.00538
                    143,                 2.0542,                 1.2396,                 1.1473,                0.50104,                0.37726,                0.39426,                0.17201,                 1.9611,                 1.2219,                 1.1475,               0.005347,               0.005347,               0.005347
                    144,                 2.0577,                 1.2435,                 1.1419,                0.50239,                0.37672,                0.39426,                0.17199,                 1.9609,                 1.2212,                 1.1474,               0.005314,               0.005314,               0.005314
                    145,                 2.0507,                 1.2244,                 1.1404,                0.50649,                0.37568,                0.39586,                0.17228,                 1.9605,                 1.2205,                 1.1473,               0.005281,               0.005281,               0.005281
                    146,                 2.0558,                 1.2339,                 1.1421,                0.51379,                0.37454,                0.39708,                0.17255,                 1.9601,                 1.2198,                 1.1471,               0.005248,               0.005248,               0.005248
                    147,                 2.0474,                 1.2269,                 1.1429,                0.51465,                0.37551,                0.39874,                0.17249,                 1.9598,                  1.219,                 1.1471,               0.005215,               0.005215,               0.005215
                    148,                 2.0428,                 1.2309,                  1.141,                0.51583,                0.37504,                0.39874,                0.17251,                 1.9593,                 1.2184,                 1.1469,               0.005182,               0.005182,               0.005182
                    149,                 2.0412,                 1.2277,                 1.1385,                0.49171,                0.38558,                0.39997,                0.17272,                 1.9588,                 1.2177,                 1.1467,               0.005149,               0.005149,               0.005149
                    150,                 2.0442,                 1.2336,                 1.1423,                0.48993,                0.38663,                0.40026,                0.17284,                 1.9585,                 1.2169,                 1.1465,               0.005116,               0.005116,               0.005116
                    151,                 2.0489,                 1.2234,                   1.14,                0.49031,                0.38685,                0.40041,                0.17305,                 1.9581,                 1.2161,                 1.1463,               0.005083,               0.005083,               0.005083
                    152,                 2.0422,                 1.2158,                 1.1395,                0.49147,                0.38907,                0.40057,                0.17353,                 1.9576,                 1.2154,                 1.1462,                0.00505,                0.00505,                0.00505
                    153,                 2.0484,                 1.2275,                 1.1385,                0.49018,                0.38971,                0.40095,                0.17369,                 1.9573,                 1.2148,                  1.146,               0.005017,               0.005017,               0.005017
                    154,                 2.0455,                 1.2206,                  1.141,                0.49138,                  0.389,                0.40076,                0.17379,                  1.957,                 1.2141,                 1.1459,               0.004984,               0.004984,               0.004984
