                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.5293,                 1.2165,                 1.2112,                0.47649,                0.36509,                0.37365,                 0.2171,                 1.4266,                 1.1176,                 1.1745,               0.008284,               0.008284,               0.008284
                     55,                 1.5246,                 1.2148,                 1.2106,                0.48297,                0.37073,                0.37807,                0.22071,                 1.4264,                 1.1175,                 1.1736,               0.008251,               0.008251,               0.008251
                     56,                 1.5182,                 1.2101,                  1.206,                0.47365,                0.36889,                0.37508,                0.21841,                 1.4272,                 1.1209,                 1.1724,               0.008218,               0.008218,               0.008218
                     57,                 1.5124,                  1.196,                 1.2059,                0.47629,                0.37197,                0.37819,                0.22033,                  1.425,                 1.1199,                   1.17,               0.008185,               0.008185,               0.008185
                     58,                 1.5179,                 1.2046,                  1.204,                 0.4906,                0.37037,                0.38069,                0.22083,                 1.4246,                 1.1177,                 1.1675,               0.008152,               0.008152,               0.008152
                     59,                 1.5176,                 1.2054,                 1.2046,                0.48041,                0.37575,                 0.3817,                 0.2225,                  1.425,                 1.1176,                 1.1669,               0.008119,               0.008119,               0.008119
                     60,                 1.5146,                 1.2114,                 1.2012,                0.49894,                0.36895,                0.38246,                0.22304,                 1.4208,                 1.1143,                 1.1659,               0.008086,               0.008086,               0.008086
                     61,                   1.51,                 1.2023,                 1.2002,                0.49286,                0.36868,                0.38251,                0.22406,                 1.4168,                 1.1136,                 1.1637,               0.008053,               0.008053,               0.008053
                     62,                 1.5251,                 1.2058,                 1.2039,                0.49546,                0.36969,                0.38337,                0.22424,                 1.4174,                 1.1114,                 1.1637,                0.00802,                0.00802,                0.00802
                     63,                 1.5154,                 1.2017,                 1.1964,                0.48785,                0.37398,                0.38413,                0.22505,                 1.4169,                 1.1097,                 1.1616,               0.007987,               0.007987,               0.007987
                     64,                 1.5147,                    1.2,                 1.2004,                0.49254,                0.37103,                0.38407,                0.22543,                 1.4154,                 1.1076,                 1.1613,               0.007954,               0.007954,               0.007954
                     65,                 1.5065,                 1.1906,                 1.1938,                0.48478,                0.37398,                0.38484,                0.22587,                 1.4152,                 1.1068,                 1.1614,               0.007921,               0.007921,               0.007921
                     66,                 1.5186,                 1.1969,                 1.1951,                0.49276,                0.37611,                0.38895,                0.22767,                 1.4115,                 1.1043,                 1.1583,               0.007888,               0.007888,               0.007888
